TEMP_id,Scope,Level 1,Level 2,Level 3,Combustion or WTT,Level 4,Level 5,UOM,GHG/Unit,GHG Conversion Factor,Year
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),WTT,,,kWh (Net CV),kg CO2e,0.05925,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),WTT,,,kWh (Gross CV),kg CO2e,0.05629,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),WTT,,,tonnes,kg CO2e,470.95724,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),WTT,,,kWh (Net CV),kg CO2e,0.05925,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),WTT,,,kWh (Gross CV),kg CO2e,0.05629,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coking coal,WTT,,,tonnes,kg CO2e,497.73658,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coking coal,WTT,,,kWh (Net CV),kg CO2e,0.05925,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coking coal,WTT,,,kWh (Gross CV),kg CO2e,0.05629,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,WTT,,,tonnes,kg CO2e,402.62468,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,WTT,,,kWh (Net CV),kg CO2e,0.04267,2025
