index,Last level,GHG/Unit,GHG Conversion Factor
2337,Battery Electric Vehicle,kg CO2e,0.06887
2338,Battery Electric Vehicle,kg CO2e,0.11085
2339,Battery Electric Vehicle,kg CO2e,0.19907
23310,Battery Electric Vehicle,kg CO2e,0.06315
23311,Battery Electric Vehicle,kg CO2e,0.10162
2330,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.11121
2331,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.03402
2332,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.05476
2333,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.22329
2334,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.05179
2335,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.08335
2336,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.18365
2337,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.06818
2338,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.10973
2339,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.19684
23310,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.06265
23311,Battery Electric Vehicle,kg CO2e of CO2 per unit,0.10082
2330,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00073
2331,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00016
2332,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00025
2333,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00095
2334,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00021
2335,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00034
2336,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00088
2337,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00029
2338,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00047
2339,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00094
23310,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00021
23311,Battery Electric Vehicle,kg CO2e of CH4 per unit,0.00034
2330,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00099
2331,Battery Electric Vehicle,kg CO2e of N2O per unit,0.0002
2332,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00034
2333,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00129
2334,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00028
2335,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00046
2336,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00121
2337,Battery Electric Vehicle,kg CO2e of N2O per unit,0.0004
2338,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00065
2339,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00129
23310,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00028
23311,Battery Electric Vehicle,kg CO2e of N2O per unit,0.00046
