index,GHG/Unit,GHG Conversion Factor
11227,kg CO2e of CO2 per unit,0.25359
11228,kg CO2e of CO2 per unit,3171.09
11229,kg CO2e of CO2 per unit,2.74078
11230,kg CO2e of CO2 per unit,0.28013
11231,kg CO2e of CO2 per unit,0.26332
11232,kg CO2e of CO2 per unit,3131.33
11233,kg CO2e of CO2 per unit,2.11149
11234,kg CO2e of CO2 per unit,0.24804
11235,kg CO2e of CO2 per unit,0.23564
11236,kg CO2e of CO2 per unit,2754.25
11237,kg CO2e of CO2 per unit,2.05523
11238,kg CO2e of CO2 per unit,0.23026
11239,kg CO2e of CO2 per unit,0.21811
11240,kg CO2e of CO2 per unit,3135.0
11241,kg CO2e of CO2 per unit,2.32567
11242,kg CO2e of CO2 per unit,0.25276
11243,kg CO2e of CO2 per unit,0.24013
11244,kg CO2e of CO2 per unit,3216.38
11245,kg CO2e of CO2 per unit,3.16262
11246,kg CO2e of CO2 per unit,0.28413
11247,kg CO2e of CO2 per unit,0.26709
11248,kg CO2e of CO2 per unit,3190.0
11249,kg CO2e of CO2 per unit,2.72417
11250,kg CO2e of CO2 per unit,0.26978
11251,kg CO2e of CO2 per unit,0.25359
11252,kg CO2e of CO2 per unit,2933.33
11253,kg CO2e of CO2 per unit,
11254,kg CO2e of CO2 per unit,0.25864
11255,kg CO2e of CO2 per unit,0.24571
11256,kg CO2e of CO2 per unit,3171.09
11257,kg CO2e of CO2 per unit,2.70801
11258,kg CO2e of CO2 per unit,0.27047
11259,kg CO2e of CO2 per unit,0.25256
11260,kg CO2e of CO2 per unit,3205.99
11261,kg CO2e of CO2 per unit,2.73782
11262,kg CO2e of CO2 per unit,0.27113
11263,kg CO2e of CO2 per unit,0.25486
11264,kg CO2e of CO2 per unit,3113.99
11265,kg CO2e of CO2 per unit,3.06194
11266,kg CO2e of CO2 per unit,0.27509
11267,kg CO2e of CO2 per unit,0.25858
1120,kg CO2e of CH4 per unit,39.5248
1121,kg CO2e of CH4 per unit,0.02885
1122,kg CO2e of CH4 per unit,0.00318
1123,kg CO2e of CH4 per unit,0.00301
1124,kg CO2e of CH4 per unit,2.1952
1125,kg CO2e of CH4 per unit,0.00176
1126,kg CO2e of CH4 per unit,0.00018
1127,kg CO2e of CH4 per unit,0.00017
1128,kg CO2e of CH4 per unit,8.4
1129,kg CO2e of CH4 per unit,0.00674
11210,kg CO2e of CH4 per unit,0.00069
11211,kg CO2e of CH4 per unit,0.00066
11212,kg CO2e of CH4 per unit,0.3472
11213,kg CO2e of CH4 per unit,0.00029
11214,kg CO2e of CH4 per unit,3e-05
11215,kg CO2e of CH4 per unit,2e-05
11216,kg CO2e of CH4 per unit,0.3472
11217,kg CO2e of CH4 per unit,0.00029
11218,kg CO2e of CH4 per unit,3e-05
11219,kg CO2e of CH4 per unit,2e-05
11220,kg CO2e of CH4 per unit,5.3872
11221,kg CO2e of CH4 per unit,0.0053
11222,kg CO2e of CH4 per unit,0.00047
11223,kg CO2e of CH4 per unit,0.00045
11224,kg CO2e of CH4 per unit,3.6848
11225,kg CO2e of CH4 per unit,0.00315
11226,kg CO2e of CH4 per unit,0.00031
11227,kg CO2e of CH4 per unit,0.00029
11228,kg CO2e of CH4 per unit,3.4272
11229,kg CO2e of CH4 per unit,0.00296
11230,kg CO2e of CH4 per unit,0.0003
11231,kg CO2e of CH4 per unit,0.00028
