index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
31822,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,kg CO2e,0.17746,
31823,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,tonne.km,kg CO2e,,
31824,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,kg CO2e,0.13207,
31825,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,kg CO2e,0.21255,
31826,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),0% Laden,tonne.km,kg CO2e,,
31827,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),0% Laden,km,kg CO2e,0.18172,
31828,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),0% Laden,miles,kg CO2e,0.29244,
31829,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,0% Laden,tonne.km,kg CO2e,,
318210,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,0% Laden,km,kg CO2e,0.16044,
318211,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,0% Laden,miles,kg CO2e,0.2582,
318212,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),0% Laden,tonne.km,kg CO2e,,
318213,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),0% Laden,km,kg CO2e,0.14831,
318214,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),0% Laden,miles,kg CO2e,0.23868,
318215,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),0% Laden,tonne.km,kg CO2e,,
318216,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),0% Laden,km,kg CO2e,0.15178,
318217,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),0% Laden,miles,kg CO2e,0.24426,
318218,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,0% Laden,tonne.km,kg CO2e,,
318219,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,0% Laden,km,kg CO2e,0.15162,
318220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,0% Laden,miles,kg CO2e,0.24401,
318221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,0% Laden,tonne.km,kg CO2e,,
318222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,0% Laden,km,kg CO2e,0.15527,
318223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,0% Laden,miles,kg CO2e,0.24987,
31820,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,tonne.km,kg CO2e,0.10694,
31821,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,kg CO2e,0.11985,
31822,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,kg CO2e,0.19289,
31823,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,tonne.km,kg CO2e,0.06373,
31824,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,kg CO2e,0.15094,
31825,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,kg CO2e,0.24292,
31826,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),50% Laden,tonne.km,kg CO2e,0.04878,
31827,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),50% Laden,km,kg CO2e,0.2216,
31828,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),50% Laden,miles,kg CO2e,0.35664,
31829,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,50% Laden,tonne.km,kg CO2e,0.05202,
318210,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,50% Laden,km,kg CO2e,0.19131,
318211,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,50% Laden,miles,kg CO2e,0.30788,
318212,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),50% Laden,tonne.km,kg CO2e,0.02731,
318213,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),50% Laden,km,kg CO2e,0.18538,
318214,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),50% Laden,miles,kg CO2e,0.29835,
318215,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),50% Laden,tonne.km,kg CO2e,0.02244,
318216,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),50% Laden,km,kg CO2e,0.20237,
318217,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),50% Laden,miles,kg CO2e,0.32568,
318218,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,50% Laden,tonne.km,kg CO2e,0.02257,
318219,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,50% Laden,km,kg CO2e,0.20159,
318220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,50% Laden,miles,kg CO2e,0.32444,
318221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,50% Laden,tonne.km,kg CO2e,0.02886,
318222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,50% Laden,km,kg CO2e,0.19734,
318223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,50% Laden,miles,kg CO2e,0.31759,
31820,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,tonne.km,kg CO2e,0.05775,
31821,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,kg CO2e,0.12944,
31822,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,kg CO2e,0.20832,
31823,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,tonne.km,kg CO2e,0.03585,
31824,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,kg CO2e,0.16981,
31825,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,miles,kg CO2e,0.27328,
31826,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),100% Laden,tonne.km,kg CO2e,0.02878,
31827,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),100% Laden,km,kg CO2e,0.26149,
31828,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),100% Laden,miles,kg CO2e,0.42083,
31829,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,100% Laden,tonne.km,kg CO2e,0.03038,
318210,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,100% Laden,km,kg CO2e,0.22218,
318211,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,100% Laden,miles,kg CO2e,0.35756,
318212,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),100% Laden,tonne.km,kg CO2e,0.01639,
318213,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),100% Laden,km,kg CO2e,0.22246,
318214,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),100% Laden,miles,kg CO2e,0.35802,
318215,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),100% Laden,tonne.km,kg CO2e,0.01403,
318216,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),100% Laden,km,kg CO2e,0.25296,
318217,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),100% Laden,miles,kg CO2e,0.4071,
318218,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,100% Laden,tonne.km,kg CO2e,0.01409,
318219,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,100% Laden,km,kg CO2e,0.25157,
318220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,100% Laden,miles,kg CO2e,0.40486,
318221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,100% Laden,tonne.km,kg CO2e,0.01757,
318222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,100% Laden,km,kg CO2e,0.23942,
318223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,100% Laden,miles,kg CO2e,0.38531,
31820,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,tonne.km,kg CO2e,0.12296,
