index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
316115,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,LPG,miles,kg CO2e,
316116,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,LPG,km,kg CO2e,
316117,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,LPG,miles,kg CO2e,
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Unknown,km,kg CO2e,0.03648
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Unknown,miles,kg CO2e,0.05871
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Unknown,km,kg CO2e,0.03929
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Unknown,miles,kg CO2e,0.06324
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Unknown,km,kg CO2e,0.04114
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Unknown,miles,kg CO2e,0.0662
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Unknown,km,kg CO2e,0.04255
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Unknown,miles,kg CO2e,0.06847
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Unknown,km,kg CO2e,0.04557
31619,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Unknown,miles,kg CO2e,0.07334
316110,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Unknown,km,kg CO2e,0.06834
316111,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Unknown,miles,kg CO2e,0.10998
316112,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Unknown,km,kg CO2e,0.06208
316113,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Unknown,miles,kg CO2e,0.09991
316114,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Unknown,km,kg CO2e,0.05061
316115,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Unknown,miles,kg CO2e,0.08145
316116,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Unknown,km,kg CO2e,0.04538
316117,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Unknown,miles,kg CO2e,0.07303
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.0152
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.02446
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.0242
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.03894
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.02629
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.04231
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.02588
31619,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.04165
316110,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.03629
316111,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.05841
316112,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.03615
316113,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.05817
316114,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.03308
316115,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.05323
