index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Composting,tonnes,kg CO2e,
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Landfill,tonnes,kg CO2e,497.24244
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Landfill,tonnes,kg CO2e,700.30886
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Landfill,tonnes,kg CO2e,646.70557
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Landfill,tonnes,kg CO2e,656.08614
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Landfill,tonnes,kg CO2e,520.5327
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Anaerobic digestion,tonnes,kg CO2e,
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Anaerobic digestion,tonnes,kg CO2e,8.98311
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Anaerobic digestion,tonnes,kg CO2e,8.98311
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Anaerobic digestion,tonnes,kg CO2e,8.98311
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Anaerobic digestion,tonnes,kg CO2e,
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Open-loop,tonnes,kg CO2e,4.68568
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Open-loop,tonnes,kg CO2e,4.68568
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Open-loop,tonnes,kg CO2e,4.68568
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Open-loop,tonnes,kg CO2e,4.68568
31044,Scope 3,Waste disposal,Electrical items,Batteries,Open-loop,tonnes,kg CO2e,4.68568
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Closed-loop,tonnes,kg CO2e,
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Closed-loop,tonnes,kg CO2e,
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Closed-loop,tonnes,kg CO2e,
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Closed-loop,tonnes,kg CO2e,
31044,Scope 3,Waste disposal,Electrical items,Batteries,Closed-loop,tonnes,kg CO2e,
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Incineration with energy recovery,tonnes,kg CO2e,
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31044,Scope 3,Waste disposal,Electrical items,Batteries,Incineration with energy recovery,tonnes,kg CO2e,
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Composting,tonnes,kg CO2e,
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Composting,tonnes,kg CO2e,
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Composting,tonnes,kg CO2e,
