index,Scope,Level 1,Activity,Type,Unit
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),miles
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),tonne.km
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),km
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),miles
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),tonne.km
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),km
1648,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),miles
1649,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),tonne.km
16410,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),km
16411,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),miles
1650,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km
1651,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),km
1652,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),miles
1653,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km
1654,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),km
1655,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles
1656,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>17 tonnes),tonne.km
1657,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>17 tonnes),km
1658,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Rigid (>17 tonnes),miles
1659,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All rigids,tonne.km
16510,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All rigids,km
16511,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All rigids,miles
16512,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>3.5 - 33t),tonne.km
16513,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>3.5 - 33t),km
16514,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>3.5 - 33t),miles
16515,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>33t),tonne.km
16516,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>33t),km
