index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.63596
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Battery Electric Vehicle,km,kWh (Net CV),0.0
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Battery Electric Vehicle,km,kWh (Net CV),0.0
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Battery Electric Vehicle,km,kWh (Net CV),0.0
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Battery Electric Vehicle,km,kWh (Net CV),0.0
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1630,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Small,,km,kWh (Net CV),0.33622
1631,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Small,,miles,kWh (Net CV),0.5411
1632,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Medium,,km,kWh (Net CV),0.40813
1633,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Medium,,miles,kWh (Net CV),0.65682
1634,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Large,,km,kWh (Net CV),0.54296
1635,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Large,,miles,kWh (Net CV),0.8738
1636,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Average,,km,kWh (Net CV),0.46265
1637,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Average,,miles,kWh (Net CV),0.74456
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kWh (Net CV),3.37629
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Diesel,km,kWh (Net CV),0.60782
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Diesel,miles,kWh (Net CV),0.97819
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kWh (Net CV),2.4197
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Diesel,km,kWh (Net CV),0.74527
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Diesel,miles,kWh (Net CV),1.19939
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kWh (Net CV),2.43865
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Diesel,km,kWh (Net CV),1.08164
1648,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Diesel,miles,kWh (Net CV),1.74073
1649,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kWh (Net CV),2.44788
16410,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Diesel,km,kWh (Net CV),0.99123
16411,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Diesel,miles,kWh (Net CV),1.59524
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Petrol,tonne.km,kWh (Net CV),6.18982
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Petrol,km,kWh (Net CV),0.8737
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Petrol,miles,kWh (Net CV),1.40608
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Petrol,tonne.km,kWh (Net CV),3.52978
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Petrol,km,kWh (Net CV),0.90349
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Petrol,miles,kWh (Net CV),1.45403
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Petrol,tonne.km,kWh (Net CV),3.62274
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Petrol,km,kWh (Net CV),1.46679
1648,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Petrol,miles,kWh (Net CV),2.36057
1649,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Petrol,tonne.km,kWh (Net CV),3.70436
16410,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Petrol,km,kWh (Net CV),0.92352
16411,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),Petrol,miles,kWh (Net CV),1.48626
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),CNG,tonne.km,kWh (Net CV),
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),CNG,km,kWh (Net CV),
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),CNG,miles,kWh (Net CV),
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),CNG,tonne.km,kWh (Net CV),
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),CNG,km,kWh (Net CV),
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),CNG,miles,kWh (Net CV),
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),CNG,tonne.km,kWh (Net CV),
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),CNG,km,kWh (Net CV),
1648,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),CNG,miles,kWh (Net CV),
1649,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),CNG,tonne.km,kWh (Net CV),3.06318
16410,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),CNG,km,kWh (Net CV),1.23247
16411,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),CNG,miles,kWh (Net CV),1.98347
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),LPG,tonne.km,kWh (Net CV),
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),LPG,km,kWh (Net CV),
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),LPG,miles,kWh (Net CV),
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),LPG,tonne.km,kWh (Net CV),
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),LPG,km,kWh (Net CV),
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),LPG,miles,kWh (Net CV),
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),LPG,tonne.km,kWh (Net CV),
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),LPG,km,kWh (Net CV),
1648,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),LPG,miles,kWh (Net CV),
1649,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),LPG,tonne.km,kWh (Net CV),2.84474
16410,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),LPG,km,kWh (Net CV),1.14458
16411,Scope 1,SECR kWh pass & delivery vehs,Vans,Average (up to 3.5 tonnes),LPG,miles,kWh (Net CV),1.84203
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Unknown,tonne.km,kWh (Net CV),
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Unknown,km,kWh (Net CV),
1642,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),Unknown,miles,kWh (Net CV),
1643,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Unknown,tonne.km,kWh (Net CV),
1644,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Unknown,km,kWh (Net CV),
1645,Scope 1,SECR kWh pass & delivery vehs,Vans,Class II (1.305 to 1.74 tonnes),Unknown,miles,kWh (Net CV),
1646,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Unknown,tonne.km,kWh (Net CV),
1647,Scope 1,SECR kWh pass & delivery vehs,Vans,Class III (1.74 to 3.5 tonnes),Unknown,km,kWh (Net CV),
