index,Scope,Level 1,Activity,Fuel,UOM,GHG/Unit,GHG Conversion Factor
31246,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Net CV),kg CO2e,0.09962
31247,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Gross CV),kg CO2e,0.09364
31248,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,tonnes,kg CO2e,1123.49881
31249,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,litres,kg CO2e,0.9465
31250,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Net CV),kg CO2e,0.09501
31251,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Gross CV),kg CO2e,0.08931
31252,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,tonnes,kg CO2e,348.98258
31253,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,litres,kg CO2e,
31254,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Net CV),kg CO2e,0.03077
31255,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Gross CV),kg CO2e,0.02923
31256,Scope 3,WTT- fuels,Liquid fuels,Waste oils,tonnes,kg CO2e,1116.83712
31257,Scope 3,WTT- fuels,Liquid fuels,Waste oils,litres,kg CO2e,
31258,Scope 3,WTT- fuels,Liquid fuels,Waste oils,kWh (Net CV),kg CO2e,0.09526
31259,Scope 3,WTT- fuels,Liquid fuels,Waste oils,kWh (Gross CV),kg CO2e,0.08895
31260,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,tonnes,kg CO2e,743.83524
31261,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,litres,kg CO2e,0.62665
31262,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,kWh (Net CV),kg CO2e,0.06291
31263,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,kWh (Gross CV),kg CO2e,0.05913
31264,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,tonnes,kg CO2e,714.86545
31265,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,litres,kg CO2e,0.69539
31266,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,kWh (Net CV),kg CO2e,0.06291
31267,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,kWh (Gross CV),kg CO2e,0.05913
3130,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),tonnes,kg CO2e,418.14964
3131,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),kWh (Net CV),kg CO2e,0.05925
3132,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),kWh (Gross CV),kg CO2e,0.05629
3133,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),tonnes,kg CO2e,390.06647
3134,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),kWh (Net CV),kg CO2e,0.05925
3135,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),kWh (Gross CV),kg CO2e,0.05629
3136,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),tonnes,kg CO2e,470.95724
3137,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),kWh (Net CV),kg CO2e,0.05925
3138,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),kWh (Gross CV),kg CO2e,0.05629
3139,Scope 3,WTT- fuels,Solid fuels,Coking coal,tonnes,kg CO2e,497.73658
31310,Scope 3,WTT- fuels,Solid fuels,Coking coal,kWh (Net CV),kg CO2e,0.05925
31311,Scope 3,WTT- fuels,Solid fuels,Coking coal,kWh (Gross CV),kg CO2e,0.05629
31312,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,tonnes,kg CO2e,402.62468
31313,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,kWh (Net CV),kg CO2e,0.04267
31314,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,kWh (Gross CV),kg CO2e,0.04053
31315,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),tonnes,kg CO2e,389.45704
31316,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Net CV),kg CO2e,0.05925
31317,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Gross CV),kg CO2e,0.05629
