index,Scope,Level 1,Activity,Material,Last level,UOM,GHG/Unit,GHG Conversion Factor
3961,Scope 3,Material use,Plastic,Plastics: average plastic film,Open-loop source,tonnes,kg CO2e,
3962,Scope 3,Material use,Plastic,Plastics: average plastic rigid,Open-loop source,tonnes,kg CO2e,
3963,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),Open-loop source,tonnes,kg CO2e,
3964,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),Open-loop source,tonnes,kg CO2e,
3965,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),Open-loop source,tonnes,kg CO2e,
3966,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),Open-loop source,tonnes,kg CO2e,
3967,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),Open-loop source,tonnes,kg CO2e,
3968,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),Open-loop source,tonnes,kg CO2e,
3960,Scope 3,Material use,Plastic,Plastics: average plastics,Closed-loop source,tonnes,kg CO2e,1575.39106
3961,Scope 3,Material use,Plastic,Plastics: average plastic film,Closed-loop source,tonnes,kg CO2e,1103.56537
3962,Scope 3,Material use,Plastic,Plastics: average plastic rigid,Closed-loop source,tonnes,kg CO2e,1915.72549
3963,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),Closed-loop source,tonnes,kg CO2e,1770.79099
3964,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),Closed-loop source,tonnes,kg CO2e,1097.90131
3965,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),Closed-loop source,tonnes,kg CO2e,2213.90131
3966,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),Closed-loop source,tonnes,kg CO2e,1312.57172
3967,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),Closed-loop source,tonnes,kg CO2e,2669.76255
3968,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),Closed-loop source,tonnes,kg CO2e,1847.82267
3970,Scope 3,Material use,Paper,Paper and board: board,Primary material production,tonnes,kg CO2e,1199.72542
3971,Scope 3,Material use,Paper,Paper and board: mixed,Primary material production,tonnes,kg CO2e,1288.50358
3972,Scope 3,Material use,Paper,Paper and board: paper,Primary material production,tonnes,kg CO2e,1345.0779
3970,Scope 3,Material use,Paper,Paper and board: board,Re-used,tonnes,kg CO2e,
3971,Scope 3,Material use,Paper,Paper and board: mixed,Re-used,tonnes,kg CO2e,
3972,Scope 3,Material use,Paper,Paper and board: paper,Re-used,tonnes,kg CO2e,
3970,Scope 3,Material use,Paper,Paper and board: board,Open-loop source,tonnes,kg CO2e,
3971,Scope 3,Material use,Paper,Paper and board: mixed,Open-loop source,tonnes,kg CO2e,
3972,Scope 3,Material use,Paper,Paper and board: paper,Open-loop source,tonnes,kg CO2e,
3970,Scope 3,Material use,Paper,Paper and board: board,Closed-loop source,tonnes,kg CO2e,1098.11442
3971,Scope 3,Material use,Paper,Paper and board: mixed,Closed-loop source,tonnes,kg CO2e,1068.77475
3972,Scope 3,Material use,Paper,Paper and board: paper,Closed-loop source,tonnes,kg CO2e,1050.0779
