index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
34113,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Battery Electric Vehicle,miles,kg CO2e,0.00955
34114,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,km,kg CO2e,0.00401
34115,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,miles,kg CO2e,0.00645
34116,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Battery Electric Vehicle,km,kg CO2e,0.00493
34117,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Battery Electric Vehicle,miles,kg CO2e,0.00793
3410,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00311
3411,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00501
3412,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00354
3413,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0057
3414,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.0036
3415,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0058
3416,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00393
3417,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00632
3418,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00347
3419,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00558
34110,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.0046
34111,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0074
34112,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00587
34113,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00945
34114,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00395
34115,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00636
34116,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00487
34117,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00784
3410,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3411,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
3412,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3413,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
3414,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,2e-05
3415,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,3e-05
3416,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3417,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
3418,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,2e-05
